C:\KP\frontend\src\app\admin\assets\page.jsx:175:25:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\admin\assets\page.jsx:189:30:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\admin\assets\page.jsx:202:30:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\admin\assets\page.jsx:225:25:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\admin\audit\page.jsx:293:41:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\admin\audit\page.jsx:331:41:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\admin\audit\page.jsx:369:26:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\admin\audit\page.jsx:386:58:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\admin\landing\page.jsx:306:17:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\admin\players\page.jsx:1024:25:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\admin\players\page.jsx:1555:19:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\admin\players\page.jsx:1573:56:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\admin\teams\page.jsx:355:27:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\auctions\page.jsx:460:19:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\auctions\page.jsx:543:24:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\card\[id]\page.jsx:149:27:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\live-auction\page.jsx:2873:33:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\match\score\[matchId]\page.jsx:400:46:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\match\score\[matchId]\page.jsx:400:114:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\register\[id]\page.jsx:2116:19:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\tournaments\[id]\page.jsx:345:29:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\tournaments\[id]\page.jsx:392:27:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\tournaments\[id]\page.jsx:571:38:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\tournaments\[id]\page.jsx:871:23:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\app\tournaments\[id]\page.jsx:923:30:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
C:\KP\frontend\src\components\HeroCarousel.jsx:104:13:jsx-a11y/alt-text:img elements must have an alt prop, either with meaningful text, or an empty string for decorative images.
